"","Salary","Neuroticism","Education"
"1",54405.770420786,2.73838712132524,"Medium"
"2",80677.2429927685,3.25756812659931,"High"
"3",47985.5634014599,4.12869724620007,"Medium"
"4",85307.7191913171,4.74697087629315,"High"
"5",98507.9043042675,2.81754232175136,"High"
"6",66758.762406294,2.31732358849498,"Low"
"7",68777.5306943614,2.48736903422641,"Medium"
"8",77922.9651461114,2.3381493972744,"High"
"9",72660.2088118444,3.38033802817966,"Medium"
"10",72086.4234607182,3.18457041855838,"Medium"
"11",78424.6472799595,4.0227137285794,"High"
"12",43336.2774721511,3.43670615899862,"Medium"
"13",67218.6857358249,4.00549952468164,"Medium"
"14",73652.1916755553,3.4276959211653,"Medium"
"15",41223.5754292196,1.87232919857026,"Low"
"16",89307.5081045405,3.47857583605895,"High"
"17",39801.7164277902,2.28603299793948,"Low"
"18",49106.2102749697,2.66318953220505,"Low"
"19",63815.8839070944,2.36467271016846,"Medium"
"20",77519.2232215642,3.94849831261052,"High"
"21",78768.1114552072,4.93153366275692,"High"
"22",58795.0814567119,3.15975638643839,"Medium"
"23",57323.6706252594,2.65598678449628,"Medium"
"24",78152.8861985419,3.8702735912243,"High"
"25",57762.5396658649,4.20370133301684,"Medium"
"26",62101.4900856546,3.72173036202333,"Medium"
"27",74710.9940957293,4.30786909235882,"Medium"
"28",45849.0017106316,3.37092893681872,"Medium"
"29",57986.1777223351,3.60241759458057,"Medium"
"30",51469.9175843937,1.92182252934912,"Low"
"31",98590.2222996573,4.62260302992956,"High"
"32",87292.9406597062,3.6736040789211,"High"
"33",66270.3394282936,2.0395326179737,"Medium"
"34",76881.7087438705,4.21509270921283,"High"
"35",40555.6508099733,4.05960861010352,"Low"
"36",70060.9179476976,3.93588420215492,"Medium"
"37",74768.9715772471,5.10054321367394,"High"
"38",43097.4316000958,2.70488039678663,"Low"
"39",66124.8237004601,2.73269815808463,"Medium"
"40",51367.252017187,2.22590401187823,"Low"
"41",55913.2877128235,2.16528914084973,"Low"
"42",66353.2186595237,2.85208650182942,"Medium"
"43",58383.7619011215,3.85329671764208,"Medium"
"44",81387.4237599964,2.23006753180762,"Medium"
"45",41390.3743050414,3.13811330259748,"Low"
"46",57324.7659551396,3.13622363841924,"Low"
"47",45819.6031514434,1.37534952750818,"Low"
"48",66379.1897273589,3.79808708725303,"Medium"
"49",35983.646002122,5.32673588753993,"Medium"
"50",81397.5716440193,3.63016904740166,"High"
"51",39363.1637429502,3.11979250146918,"Low"
"52",55721.2645423374,2.58446753570265,"Medium"
"53",65351.6486678727,5.05398382003959,"High"
"54",52305.5449328026,2.61180680167243,"Low"
"55",66339.8462839128,4.66233562477689,"Medium"
"56",32761.9708062682,1.15310486291954,"Low"
"57",47420.9973888914,2.35475547955823,"Low"
"58",70024.2775585789,3.65602616673035,"High"
"59",69602.5179219894,3.93743850865523,"High"
"60",69672.1595007031,2.7147532386214,"Medium"
"61",56710.8540291841,2.54038391006467,"Medium"
"62",51704.3507296612,2.89256811045214,"Low"
"63",65733.7197229066,2.32378288332152,"Medium"
"64",62647.5682503065,4.51902216522487,"Medium"
"65",78889.7615802477,3.09323494989322,"High"
"66",48307.7312181689,3.33847451996016,"Medium"
"67",89286.9177794674,4.56081514156678,"High"
"68",81479.5909328134,4.60669510380066,"High"
"69",79106.3657139021,3.84824831519953,"High"
"70",62134.2019339274,3.32005532331738,"Medium"
"71",92472.4128323743,4.92640914898988,"High"
"72",58678.9462981114,2.00888646826115,"Medium"
"73",55820.4143787631,2.5848620334114,"Medium"
"74",34399.4367139575,2.67205489857709,"Low"
"75",45264.9268320789,2.8725037749267,"Medium"
"76",47070.0619208256,3.56804043412312,"Low"
"77",61514.4967419682,3.82690768051853,"Medium"
"78",63713.430968016,3.31379364169307,"Medium"
"79",66231.6141475452,1.96510190331513,"Medium"
"80",36627.8598263469,2.42082586576612,"Low"
"81",34255.6635476727,2.1284392666997,"Low"
"82",71568.4696854119,3.16482154583051,"Medium"
"83",49545.4027156284,2.24355874695312,"Medium"
"84",84056.2920143313,4.53150850292615,"High"
"85",37045.5602208181,1.51164728360292,"Low"
"86",65568.953257295,3.05907607150592,"Medium"
"87",71143.8631200644,4.43143399807416,"High"
"88",77531.577122477,3.43698928620654,"High"
"89",98748.6531098818,4.60349911979194,"High"
"90",54446.9545057088,1.27471517924482,"Low"
"91",27793.1285955445,0,"Low"
"92",61475.3761970182,3.64910582225375,"Medium"
"93",53689.5471013789,3.96971023752316,"Medium"
"94",49780.3010051476,3.00817891425048,"Medium"
"95",62282.5411369054,3.68253301529959,"Medium"
"96",47837.6443693306,1.41180508038674,"Low"
"97",77508.1931094914,3.99729279242868,"High"
"98",71259.6802549135,0.741181253462813,"Low"
"99",32288.6259089512,4.2604962304394,"Medium"
"100",64780.8930970041,4.83988958274004,"Medium"
"101",54734.7386107693,4.16901243688056,"Medium"
"102",69113.5632511476,3.22884441344099,"Medium"
"103",56619.2619768457,3.22373674418877,"Medium"
"104",79213.4169465347,2.81165125545804,"High"
"105",39676.1144875581,3.92689619458948,"Medium"
"106",79132.4604301412,3.92594051983226,"High"
"107",110934,3.54520810324323,"High"
"108",77549.5727559995,2.04682248670351,"Medium"
"109",81518.4697104312,2.99629869683465,"Medium"
"110",55646.533348958,1.67375015567936,"Low"
"111",95017.4715498306,3.76690988099598,"High"
"112",75913.8140608088,2.2127927898188,"Medium"
"113",42117.1373097554,3.83914518741804,"Low"
"114",74269.8188302114,4.09217190857385,"High"
"115",51982.9071686084,4.16980872993812,"Medium"
"116",33220.7460635638,0.17762185571939,"Low"
"117",63089.3412475416,2.86531963879116,"Medium"
"118",93198.9499734262,3.52921136713491,"High"
"119",77386.0624495502,2.20824612156576,"Medium"
"120",57466.1232266262,4.57244165133793,"Medium"
"121",60236.1621248674,2.04404291531936,"Medium"
"122",97627.7306422425,3.5239807116547,"Medium"
"123",67062.9943694033,3.97474371044504,"Medium"
"124",57871.4557137022,2.55065645738335,"Low"
"125",60776.3949741747,2.50503291797369,"Medium"
"126",77170.7337888278,4.90925232956581,"High"
"127",46943.8893842139,2.54416696935673,"Low"
"128",64953.5992588644,1.49069762331699,"Low"
"129",43647.7665209766,1.21364668702863,"Low"
"130",64187.6202634003,5.03350151445576,"Medium"
"131",40309.7972567202,2.67298924563892,"Medium"
"132",81337.2182819023,2.52183588385258,"High"
"133",45260.0787159906,3.70740230050051,"Medium"
"134",73120.6083601056,3.5170149778847,"Medium"
